"jobs_title","jobs_requirements"
"Technical Support Analyst - Tampa, FL - 652731","Microsoft PC related certifications/training or other PC related certifications/trainings; A+, Network +, or other network certifications/trainings preferred"
"Cloud Security Architect - Minneapolis, MN or Franklin, TN, or Basking Ridge, NJ, Hartford, CT or Telecommute - 652755","Undergraduate or equivalent work experience
5+ years of experience managing complex application security and / or infrastructure domain projects / programs for a large enterprise organization
5+ experience supporting application security incident response activities including detection, analysis, containment, response and prevention procedures
5+ years of experience in architecture, engineering, deployment and operational management of a robust application security environment
Experience managing projects / programs from concept through implementation (including the rollout of supporting oversight processes) using a structured project management methodology across the entire project life cycle
Familiarity with IT Governance standards including NIST, ITIL and CoBIT
3+ years of experience with operating environments including Windows, UNIX, and Linux"
"Audit Project Manager (APM) - Atlanta, GA or Tampa, FL - 640765","2+ years of Experience managing people & projects
2+ years of Experience with highly regulated, audited change controlled environment, like healthcare IT
2+ years of Experience managing organizational change through compliance initiatives related to at least one of the in scope audits above"
"Java Applications Developer - Boston, MA - 657187","4+ years Java/J2EE experience
Strong hands-on experience with Java EE or spring framework
Strong experience of one or more ORM technologies (like Hibernate, JPA, or similar)
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design"
"Director of IT Business Solution Architecture - UnitedHealthcare Global - 659315","10 + years of experience at the intersection of Business and IT Strategy
5 + years Healthcare Claim system knowledge
Demonstrated ability to build client relationships and collaborate with internal and external clients
Demonstrated ability to solve problems with innovative ideas to affect change in IT strategy, business strategy and operations as a result
Broad, enterprise-wide view of the business and appreciation for strategy, processes and capabilities, enabling technologies, and governance
Proven ability to recognize issues and opportunities within the business domains, functional interdependencies and cross-silo opportunities
Demonstrated ability to apply architectural principles, methods, and tools to business challenges
Broad understanding of technology and how it's used to drive business growth and/or efficiencies
Track record of producing high quality business modeling and business architecture deliverables
Proven ability to quickly understand and assess a client's current IT capabilities / business architecture / operating model"
"Implementation Project Manager - Optum Technology - Eden Prairie, MN - 655166",""
".Net Application Developer - Plano, TX - 656672",""
"Applications Support Specialist - Seattle, WA - 661327",""
"Manager of Web Development - Raleigh, NC - 657279","Bachelor’s Degree
6+ years of experience designing user interfaces (UI) for the web following user-centered design principles
2+ years of prior management work experience
5+ years of work experience utilizing design tools; Ex: Axure, Visio, Omnigraffle, iRise, Fireworks, Photoshop, or Illustrator
Portfolio of past UX/IA projects including task flows, site maps, wireframes, etc. required
Ability to travel up to 30% - between the Raleigh NC office and SC, to meet with UHG teams
Ability to work collaboratively with team and internal clients"
"Senior Quality Assurance Analyst - Phoenix, AZ - 658127","Bachelor's degree or equivalent experience
4+ years of Quality Assurance/Testing experience
3+ years of relational database experience
Quality Assurance Team Leadership experience
Experience with QA testing tools
Understanding of all phases of the Software Development Life Cycle"
"Senior Software Engineer, Java - Multiple Locations - 656034","4+ years of Java EE and Spring experience, building multi-tier applications
2+ years of experience implementing REST APIs / Microservices for Cloud Scape deployment
2+ years of experience implementing responsive UI using HTML, JavaScript and CSS
Current hands on experience as a Full-stack developer or Technical Lead
Experience evaluating new tools and technologies for possible implementation
Exposure to multiple disciplines such as system integration, data analytics, infrastructure application, security, program design, cloud initiatives etc.
6+ years of overall technical experience"
"JAVA Architect / Developer - Minntetonka, MN or Wausau, WI - 657049","5+ years of full Software Development Life Cycle experience
5+ years of experience working as a Java developer
Ability to code, debug and unit test web applications in Java via the Eclipse IDE or equivalent
Ability to contribute to design specifications
Ability to understand and discuss technical/business specifications
Experience developing Web Applications
Experience with Java, JSP, Servlets, Java Web Services"
"Manager Technology Support - Minnetonka, MN - 657860","Experience Managing IT personnel
Experience with Incident/Request Management
Experience with Operational Excellence - identify and aid in implementing solutions to improve customer effort, quality, cycle time SLAs
Project participation/support experience
Excellent customer service
Set team direction, resolve problems and provide guidance to team members
Experience overseeing work activities of other supervisors
Experience forecasting and planning activities"
"Senior Java Developer - Minnetonka, MN or Wausau, WI - 657053","3+ years of experience working as a Java developer
3+ years of full Software Development Life Cycle experience
Ability to code, debug and unit test web applications in Java via the Eclipse IDE or equivalent
Experience developing Web Applications
Experience with Java, JSP, Servlets, Java Web Services"
"SAS Developer - Minnetonka, MN; Raleigh, NC - 659579","3+ years SAS development experience"
"Lead IT Operations Service Coordinator / Java - Eden Prairie, MN - 651557","3+ years Java / J2EE experience (development or systems analysis)
Experience with Oracle and/or SQL Server databases
Ability to be on call 24 X 7 (critical business applications - but applications are stable and currently issues occur a couple times a month outside of normal working hours)
Have strong verbal and written communications skills
Experience coordinating and leading technical resources"
"IT Database Consultant - 654592","5+ years of relational database experience in a complex, enterprise environment
5+ years of Database Administration experience with the knowledge and ability to perform in all of the basic database management skills of database administration, write/tune complex SQL, mentor junior SQL developers
5+ years of experience working with Application and/or System Database Administrators and development teams
5+ years of experience with DB2 and Erwin"
"Network Control Center (NOC) Consultant - Multiple Locations - 658736","Experience troubleshooting Network Firewalls, Proxy- s, Wireless and Load Balancers
Familiarity with ITIL / ITSM processes
Experience with packet capture and analysis products such as Wireshark, Sniffer, and Netscout
Any Cisco Certifications are a plus (CCIE, CCNA, CCNP etc.), COMPTIA Network +"
"Sr IT Proj Cnslt - Optum Technology - PPRM - Basking Ridge, NJ - 658957",""
"IT System Analyst - Hartford, CT - 660836","5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
Experience with two or more of the following:
Working with APIs and web services
Experience mapping data from web services or database to user interface
Experience creating XML, XSD and/or JSON files
Experience with EDI files
Data modeling experience
Experience working as a developer
Experience working with REST methodology
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
5+ years of Relational Database experience"
"Network Control Center (NOC) Consultant - Multiple Locations - 658739","Experience troubleshooting Network Firewalls, Proxy- s, Wireless and Load Balancers
Familiarity with ITIL / ITSM processes
Experience with packet capture and analysis products such as Wireshark, Sniffer, and Netscout
Any Cisco Certifications are a plus (CCIE, CCNA, CCNP etc.), COMPTIA Network +"
"Specialty Pharmacy IT Business Architect - Schaumburg, IL - 659336","7+ years of professional experience
5+ years of Information Technology Architecture Analysis experience
2+ years of Business Architecture experience
Solid understanding of industry patterns for application architecture and integration"
"Information Security Manager - Indianapolis, IN - 649110",""
"Lead Java / ETL Hadoop Developer - Boston, MA - 651748","6+ years of team lead experience in leading designing & developing enterprise application solution for distributed systems.
5+ years Java experience
5+ years Hadoop ECO system framework experience"
"Technical Writer - Eden Prairie, MN - 651744","Requires an undergraduate degree or equivalent in related field
4+ years of experience with technical writing, technical documentation
2+ years of experience in health claims and/or payer systems
1+ year of experience with the DITA standard"
"Senior IT Systems Analyst - Cypress, CA or Basking Ridge, NJ - 647482","5+ years of experience in all phases of Software Development Life Cycle/System Development Life Cycle (SDLC)
5+ years of experience translating business requirements into a detailed system specification
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
Experience working with test plans and test cases"
"IT Senior Guardium Engineer -Data Activity Monitoring Team; Plymouth, MN or Telecommute - 650990",""
"Lead Java Developer - Hartford, CT - 647143","BS Degree in Computer Science or related experience
6+ years Java/J2EE experience
Strong hands-on experience with Java EE or spring framework
Strong experience of one or more ORM technologies (like Hibernate, JPA, or similar)
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design"
"IT Security Operations Consultant - Indianapolis, IN - 652991",""
"Senior Software Engineer (.Net Developer/SQL Server) - Irvine, CA - 652576","Bachelor's degree in Computer Science, Management Information Systems, Math, Engineering or other related field
2+ years as a technical/team lead
10 - 12 years of programming and software development experience
5+ years of hands on experience with DBMS, specifically MS SQL Server, database design, and SQL programming
Strong in SOA principles design and architecture and ASP.NET MVC
Must be proficient with OOP, ASP.Net, C#, HTML, XML, and component based SDLC
Excellent communication skills and a commitment to customer service
Familiar with SDLC and tools such as source control (TFS)"
"Voice / Data Networking Consultant - Plymouth, MN - 658513","3+ years of professional experience in architecting, deploying and supporting PBX's
Professional experience with telephone switch programming
Professional experience with VOIP and IP networking
Professional experience with large to very large enterprise environments that include multiple site locations
Knowledge of CO/ISDN PRI/H.3232 and SIP trunking
Call Center ACD with EAS design, setup, implementation/maintenance and support"
"Software Development Product Analyst - Raleigh, NC or Eden Prairie, MN - 654962","3+ years of experience working in any software development and / or product development role
2+ years of experience facilitating product feature or requirements development – gathering input to formulate product features, functions and requirements with clients and/or end-users
1+ year(s) of experience in a formal management or other leadership role
1+ year(s) of experience creating and analyzing process flow diagrams
Strong analytical and problem-solving skills are a must
Ability to summarize large data sets and extract meaningful insights
Ability to understand the IT landscape and its limitations and possibilities
Ability to manage multiple projects/assignments and competing priorities
Ability to maintain focus and a positive attitude in ambiguous or high pressure situations
Professional demeanor, comfortable in client-facing role
Ability to thrive in an entrepreneurial environment which requires creativity and self-motivation
Proficiency with Microsoft Excel and Visio"
"Sr Database Developer - Multiple Locations - 656230","Bachelor’s Degree in a technical field of study is required (BS in Computer Science is preferred)
3+ years of full Software Development Life Cycle experience
3+ Professional IT experience in a large enterprise environment
3+ years with hands-on expertise in PL/SQL or comparable RDBMS using advance stored procedures
3+ years experience in database design; normalization, dimensional modeling and relational designs.
A very strong understanding of Data Warehouse and Extract Transfer Load (ETL) concepts"
"Senior IT System / Data Analyst - Elkridge, MD - 654303","Forecasts and plans resource requirements for calling records loaded within the I3 Dialer System
Conduct reporting and analytics on call metrics
Partner with business for ad-hoc data support, reports, and analysis
Maintain and enhance existing databases and queries
Understand code, troubleshoot, find issues and solve problems
Assess and interpret customer needs and requirements
Identifies solutions to non-standard requests and problems
Analyze, review, and trend complex dialer outcome data
Present analysis and interpretation for operational and business review and planning
Support short and long term operational/strategic business activities through analysis & develops recommended business solutions through research, analysis, and implements as appropriate
Serve as a resource to others and provides day to day team direction as needed"
"TIBCO Infrastructure Engineer - Schaumburg, IL - 649916",""
"Manager, Data Modeling - Minnetonka, MN - 661250","Undergraduate degree or equivalent experience
Minimum of 10 years in Information Technology
Minimum of 5 years of successful data architecture
Minimum of 5 years of experience managing cross functional small to medium size teams consisting of 5 or more direct reports
Minimum of 2 years of experience with Data Modeling tools (e.g. ERwin, ER Studio, etc.)"
"IT Project Manager - Optum Technology Commercial Services - Telecommute - 659894",""
"Web Services Administrator - US Telecommute - 647898",""
"Data Architect - Eden Prairie, MN - 656879","Undergraduate degree or equivalent experience.
Minimum of 10 years in Information Technology
Minimum of 5 years of Application data architecture performing data mappings, data modeling, data profiling, data flow design, etc between multiple databases across multiples platforms.
Minimum of 5 years of experience with Data Modeling tools (e.g. ERwin, ER Studio, etc.)
Minimum of 2 years defining Enterprise Data Architecture, Enterprise logical / common data models, etc."
"Data Analyst (SQL or SAS) - Eden Prairie, MN - 656865","Undergraduate degree or equivalent experience
Minimum of 5+ years of experience as a Data Analyst / Report Developer
Minimum of 5+ years of experience interpreting data and providing solutions
Minimum of 3+ years of experience with SAS OR SQL"
"Asset Management Tools .NET Developer - Hartford, CT - 657871","3+ years of experience working on .Net development (C# / VB.Net)
3+ years of experience with SQL Server 2005/2008/2012
3+ years of experience SQL scripting, stored procedures, and triggers
Good background in network communications, file transfer protocols, OS/Network authentications, and file systems.
Experience with Agile Scrum Development methodologies
Excellent oral and written communication skills and excellent customer service skills.
Bachelor's degree in Computer Science or equivalent experience"
"Senior Data Migration and Integration Lead - Eden Prairie, MN - 654580","Undergraduate degree in applicable area of expertise or 5+ years of equivalent experience
5+ years of experience with Salesforce.com
2+ years of experience leading a large Salesforce.com instance
Knowledgeable in standard functions/ modules of Salesforce.com - Sales Cloud, Service Cloud, and Community Cloud
Demonstrated experience of Salesforce.com administration and end user security requirements
Experience with large scale system implementation, integration, interfaces and data conversion
Experienced in using efficient methodologies (e.g. Agile) and driving development platform"
"Manager, Application Development - 652960",""
"Software Development Engineer in Test / SDET - Multiple Locations - 655774","4 + years of experience developing test automation or combination of development and test experience using Selenium Webdriver, JUnit, TestNG or similar tools
2+ years of experience with Agile methodologies and Test Driven Development and continuous integration processes
Working experience with technologies such as Java/Cucumber and with applications developed in various client side scripting technologies such as Angular, AJAX, JavaScript, JQuery etc.
Proficient with developer tools, such as Eclipse and git/github for developing on the Java stack
Experience automating build processes, application deployments and continuous integration system like Jenkins"
"IT Systems Analyst - Irvine, CA - 653696","Must have a minimum of 2+ years of related experience
Skilled in authoring functional requirements documents and other technical documentation
Must possess the ability to work independently, organize work effectively and take initiative in fast-paced work environment while managing multiple tasks and deliverables simultaneously
Knowledgeable in process modeling, business value analysis and business application process, design and use case analysis
Knowledgeable in SDLC processes, roles, responsibilities and deliverables
Negotiation, facilitation, and consensus building skills with clients
Excellent communication skills, both written and verbal
Strong business and technical writing abilities
Strong organizational skills and attention to detail
Proficient in PC based software programs including Word, Excel, PowerPoint
Experience in troubleshooting systems and reported issues"
"Senior Software Engineer - NextGen Template - Irvine, CA - 653450","Hands on experience with NextGen EHR development.
Hands on experience with NextGen Template Editor & Document Builder
Understanding of NextGen EHR physician office and clinical practice workflows
Knowledge of the NextGen Database structure and objects
Strong analytical, communication and documentation skills
5+ years of hands on experience with DBMS specifically MS SQL Server, database design and SQL programming"
"IT Architecture Consultant - Basking Ridge, NJ - 656525","Undergraduate degree
8+ years of experience in IT Application/Solution architecture
8+ years of full-lifecycle application development experience
5 years industry design patterns for application architecture and integration
6+ years experience in building Java/JEE multi-tier applications
4 years Agile development experience"
"IT Data Project Manager - Plymouth, MN - 658984","3+ years project management experience in data network deployment
Hands on experience with network rollout deployment activities
Background in fundamental voice and data network technologies (e.g., LAN/WAN, network routing protocols, IPT, IVR)
Demonstrated success leading complex network initiatives in a matrixed organization
Willingness to take ownership and be accountable for delivery of services to the business partner
Proficiency with MS Office (Including Word, Excel, Outlook, PowerPoint, Access)
Must be able to work in Plymouth office"
"Sr. Applications Support Analyst (Tier 2 - UNIX) - Eden Prairie, MN - 648651","3+ years of Technical Applications support preferably in a hosted services environment
2+ years’ technical experience with the following:
UNIX based operating systems
Maintaining and monitoring automated processes using Scheduling Tools
Relational Databases
Willing and able to work in an on-call rotation with other team members
Strong troubleshooting and analysis skills
Experience to anticipating and driving change
Microsoft Office Suite experience
Excellent customer service skills"
"Pega Developer - Multiple Locations - 626229","2+ year of experience with design, architecture and delivery of Pega PRPC-based solutions across multiple projects
1+ year of development experience on Java
2+ years of SDLC experience"
"Scrum Master - Eden Prairie, MN - 639828","CSM or PSM Certification
2+ years of experience playing the Scrum Master role for a software development team that was diligently applying Scrum principles, practices, and theory
Demonstrated knowledge of servant leadership, facilitation, situational awareness, conflict resolution, continual improvement, empowerment, and increasing transparency
Knowledge of numerous well documented patterns and techniques for filling in the intentional gaps left in the Scrum approach (example: numerous Burndown techniques, numerous Retrospective formats, handling bugs, etc.)
Knowledge and/or experience with widely successful Agile techniques: User Stories, ATDD, TDD, Continuous Integration, Continuous Testing, Pairing, Automated Testing, Agile Games
Previous experience as a team lead
Must be able to work in Eden Prairie, MN offices"
"Agile Enterprise Coach - Multiple Locations - 639216","Bachelor’s degree
Agile Certification(s)
Healthcare experience
Graduate degree"
"ODM Business Engagement Lead - Rocky Hill, CT or Minnetonka, MN - 647442",""
"Senior Java Web Developer - Santa Ana, CA or Eden Prairie, MN - 653240","Undergraduate degree or equivalent experience
3+ years of Java J2EE programming experience
4+ years of HTML / CSS
4+ years of JavaScript"
"Sr. Data Architect / Analyst - Eden Prairie, MN or Raleigh, NC, Irvine/ Cypress/ Santa Ana, CA - 656642","Undergraduate degree or equivalent experience.
7 or more years of experience in data development
Demonstrable experience with the delivery of multi-faceted, multi-modal software products and solutions.
Proven experience in bridging the needs and pace across IT delivery functions.
Strong data analytic abilities and proven problem solving skills.
Deep understanding of: Data Discovery and Profiling; Data Mapping; Data Modeling; ETL tools ex Data Stage; Data Management processes (e.g., Data Quality).
Previous experience facilitating, influencing and negotiating.
Prior experience thinking strategically and must be flexible to work with global teams and stakeholders across time zones."
"Sr.Healthcare IT Systems Analyst - Hartford, CT; Minnetonka, MN; Phoenix, AZ - 656344",""
"Informatica Developer - Albany, NY - 649049","3+ years of development experience with Informatica Powercenter
2+ years of healthcare data experience in Medicaid, Medicare, Healthcare Exchange or commercial payer environments.
1+ years’ experience with Master Data Management (MDM) concepts using any MDM tool
1+ years’ experience with Informatica Data Quality"
"Lead Java Developer - Eden Prairie, MN - 660829","6+ years Java/J2EE experience
Strong hands-on experience with Java EE or spring framework
Strong experience of one or more ORM technologies (like Hibernate, JPA, or similar)
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design"
"Sr Software Engineer - Basking Ridge, NJ - 651962","10 + years in the software engineering profession
4+ years of Java development experience
1+ years of Salesforce development experience
2+ years of Ruby on Rails development experience
Demonstrated success designing and building high-quality commercial software applications
Proven experience delivering software using an Agile/Scrum methodology
Expertise across the entire SLDC
Relevant Bachelor's degree or equivalent work experience in a related field"
"Sr. Clinical Data Analyst Programmer - SQL or SAS - Boston, MA - 659128","5+ years of working as a Data Analyst
5+ years of experience working in a relational database environment using SAS and/or SQL
2+ years of experience translating existing processes into business requirements
Healthcare industry experience"
"Lead ETL Developer - Eden Prairie, MN - 660588",""
"Senior Software Engineer - Raleigh, NC - 653321","5+ years in the software engineering profession
5+ years of experience with ASP.NET, C#.NET, Web Services, MVC, JavaScript, JSON and AJAX
Demonstrated success designing and building high-quality commercial software applications
Proven experience delivering software using an Agile/Scrum methodology
Expertise across the entire SLDC
Relevant Bachelor's degree or equivalent work experience"
"ETL Developer - Eden Prairie, MN - 660592",""
"Java Application Architect - Eden Prairie, MN - 631252","Minimum of 7 years of development experience with Java, XML, Web Services, MQ, WSDL, JSF
5 or more years of Spring experience
Thorough understanding of service oriented architecture (SOA) concepts
Understanding of the SOLID object-oriented principles
Previous relational database experience
Business rule engine experience
Previous experience with Agile / SCRUM methodology / best practices
Previous experience and successful track-record of learning new tools and technologies and leveraging these on integration and implementation projects
Bachelor's degree in a technical field, or equivalent experience"
"SAS Administrator - Mulitple Locations - 648307",""
"Lead Peoplesoft Developer - Eden Prarie, MN - 650327","6+ years of design and hands-on development for PeopleSoft FSCM; Includes performing root cause analysis, data and process analysis, authoring technical designs/documentation, and code reviews
3+ years PeopleSoft application experience in FSCM 9.1 or higher (Specifically General Ledger, Accounts Payable, Purchasing, Assets)
Experience designing complex end-to-end solutions that utilize delivered and/or custom PeopleSoft functionality and features
PeopleTools experience in 8.5X or higher
Experience leading portions or all of work unit/elements for PeopleSoft patching or upgrade projects (Application and/or PeopleTools)
2+ years of senior or lead developer experience including providing guidance, work direction, and mentorship/leadership to junior developers
An advanced understanding of best-practice PeopleSoft systems design, development, and modification techniques"
"Scrum Master - San Diego, CA or Telecommute - 653025","2+ years of experience playing the Scrum Master role for at least one year for a software development team that was diligently applying Scrum principles, practices, and theory
Good skills and knowledge of servant leadership, facilitation, situational awareness, conflict resolution, continual improvement, empowerment, and increasing transparency
Knowledge of numerous well documented patterns and techniques for filling in the intentional gaps left in the Scrum approach(example: numerous Burndown techniques, numerous Retrospective formats, handling bugs, etc)
Knowledge and/or experience with widely successful Agile techniques: User Stories, ATDD, TDD, Continuous Integration, Continuous Testing, Pairing, Automated Testing, Agile Games
Previous Salesforce development experience"
"Windows System Admin Engineer - Warminster, PA - 658416",""
"Lead Cyber Forensic Investigator - 649641","5 + years of computer/cyber/digital forensic experience
Demonstrated experience with digital forensic analysis tools
5 + years of information security experience in a large, highly-regulated enterprise
Operational incident response experience
Direct experience with current advanced persistent threats (APT) and/or malware engineering
Demonstrated ability to be creative and autonomous
Basic project management skills and detail orientation
Understanding of the technology risks that are inherent to a business and an ability to effectively communicate those risks
Undergraduate degree or equivalent experience"
"Scrum Project Manager - Eden Prairie, MN - 638833","Undergraduate degree or equivalent experience
5+ years of IT Project Management experience
Scrum Master certified in the Agile Methodology
5+ years of working hands-on with all aspects of the System Development Life Cycle"
"Sr. Business Systems Analyst - WellMed - San Antonio, TX - 656763","Bachelor’s degree in computer science or related field required - or - 4 additional years of comparable work experience beyond the required years of experience may be substituted in lieu of a bachelor’s degree
8+ years of experience in developing requirements and performing system analysis
5+ years of experience of major systems implementation experience
Experience with various system development lifecycles such as waterfall, RUP, and Agile methods
Ability to clearly communicate ideas and solutions
Ability to effectively work with both internal and external clients"
"ETL Production Support - Developer - multiple locations - 654520","High School Diploma/GED
Able to work weekend on-call rotation as required
Able to conduct after hours calls with offshore teams as needed
5+ years of experience designing and coding ETL Tools within a UNIX environment such as: Datastage 8.7 or 11.3.1 (Unix Grid Environment): Informix (including shell scripting) as a preference
Experience using scheduling tools like TDWS, Autosys, etc. creating jobs for design
Proficient writing complex SQL queries for relational databases
Previous experience using a versioning tool"
"IT Helpdesk Support - San Antonio, TX - 656193",""
"IT Systems Analyst II - Las Vegas, NV - 656593","2+ years of professional experience in Application Administration and/or Support
Previous professional experience troubleshooting applications directly with end users (preferably healthcare personnel such as Doctors, Nurses, etc)
Previous professional experience supporting critical Business Applications that require High Availability
Previous experience providing end user training
Ability to maintain interfaces and manage errors"
"Senior Applications Developer - Phoenix, AZ - 657349","Healthcare experience is a plus
FACETS experience is a plus
WebSphere and/or JBOSS Application Server experience a plus
DB Modeling/Design in SQL Server and/or Oracle experience
Experience using advanced modeling tools such as Rational Rose
Experience working with ancillary “home-grown” systems and products
Experience with Source Control systems (like SVN), Testing tools (like ALM)"
"Operations Technician (Data Warehouse) - Franklin, TN - 660256",""
"Sr. Applications Support Analyst (Tier 2 - UNIX) - Multiple Locations - 655024",""
"Clinical Information Systems Consultant - NC, MN or CA - 656712","Bachelor's degree
5+ years of IT development experience
3+ years of working hands-on with all aspects of Software Development Life Cycle
3+ years of Health care IT experience
Experience with Clinical Information systems like EMR, Practice Management Systems, HIE etc."
"Java Architect - Eden Prairie, MN - 651279","2+ years of technical leadership experience
6+ years of application development experience
3+ years of Strong hands-on experience with Java SE and the Spring Framework
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design
Prior experience using application performance monitoring/diagnostic tools (Dynatrace, New Relic, App dynamics or Similar)
Experience in complex projects with division or company-wide scope"
"Application Development Consultant - Horsham, PA,Hartford, CT, Greensville, SC Minnetonka, MN - 641316","5+ years of Java / J2EE development experience
2+ years of experience with the Spring framework
1+ years of experience with Spring Web Flow
1+ years of experience with Hibernate
2+ years of experience with Web Services
Experience with Web and Restful Service Development
XML experience
SOAP experience
Familiarity with MS Project
Ability to develop Technical Project plans
Ability to perform Project and task Estimation
Strong communication skills, evidenced by the ability to assess and interpret customer needs and requirements
Ability to work independently as well as in a group environment
Strong analytical and problem solving skills
Must be eligible for NAC Security Clearance (needs US Citizenship)"
"IT Systems Analyst - Phoenix, AZ - 650128","Bachelor's Degree (or HS diploma / GED with 4+ years of total IT work experience)
1-2 years of experience in IT business analysis, Systems Analysis, or systems development
1+ years of SQL experience with understanding of relational database concepts
Some Healthcare experience"
"Sr. Network Service Manager Consultant - Plymouth, MN - 651790","Operate within a framework to coordinate IT service delivery and incident management
Serve as cross-functional team lead to support all aspects of service ownership
Act as a Service Level Owner for some or all departmental services
Maintain interactions with SMEs to foster the advancement of all services
Participates/Leads internal service review meetings with departmental staff
Participates/Leads external service review meetings with business units
Collaborate with the business to define requirements and seasonal fluctuation in support of service delivery and support
Engage with the business to address service related issues
Collaborate with all teams within Network Services to ensure adequate platform representation
Support the continued improvement and generation of metrics to maintain appropriate measurements of all services"
"IT Security DevOps Engineer- Eden Prairie, MN - 659724","5 or more years of professional IT experience
Scripting background in technologies such as shell, python or perl
Ability to tune and troubleshoot complex distributed systems
Operating system expertise either in windows or UNIX"
"IT Systems Analyst - Schaumburg, IL - 651495","Bachelor's Degree or equivalent work experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
5+ years of Relational Database experience"
"IT Business Process Architect - Eden Prairie, MN or Hartford, CT - 656205","3+ years of experience at the intersection of Business and IT Strategy
3+ years in the business process analysis / engineering, planning and improvement
Demonstrated ability to build client relationships and collaborate with internal and external clients
Demonstrated ability to solve problems with innovative ideas to affect change in business strategy and operations as a result
Broad, enterprise-wide view of the business and appreciation for strategy, processes and capabilities, enabling technologies, and governance
Proven ability to recognize issues and opportunities within the business domains, functional interdependencies and cross-silo
Demonstrated ability to apply architectural principles, methods, and tools to business challenges
Broad understanding of technology and how it's used to drive business growth and/or efficiencies
Business modeling and analysis experience in developing business architecture deliverables
Ability to quickly understand and assess a client's current business architecture / operating model"
"IT Systems Analyst - Schaumburg, IL - 651400","Bachelor's Degree or equivalent work experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
5+ years of Relational Database experience"
"Research Linguist NLP - San Diego, CA - 656177","Previous experience creating and managing dictionaries, electronic ontology, writing grammar rules, etc.
Previous professional experience employing Linguistic concepts using Morphology, Syntax and/or Semantics.
Previous experience or academic equivalent with Natural Language Processing or other text oriented computation
Advanced Degree in Linguistics, Cognitive Science, or a Linguistics-related discipline (Computational Discipline will be considered)
Fluent in Portuguese"
"Pega Developer - Basking Ridge, NJ or Minneapolis, MN or Hartford, CT - 660067","Bachelor's Degree (or higher) or High School Diploma/GED with 5+ years of Applications Development experience
2+ years of experience with design, architecture and delivery of Pega PRPC-based solutions across multiple projects
2+ years of SDLC experience
2+ year Client-Server application development using Oracle 12c/11g/10g/9i, PL/SQL, SQL*PLUS"
"IT Project Support Analyst - Multiple Locations - 657869","BA/BS degree or 5+ years equivalent work experience
3+ years of Knowledge working with SDLC development lifecycle and processes
3+ years of IT Experience in Project Management Analysis or Business Requirements
Strong analytical and organizational competencies; accuracy and attention to detail
Strong interpersonal skills; excellent verbal and written communication skills
2+ years of experience with financial analysis/working knowledge of concepts
Ability to coordinate, drive and direct interaction across multiple teams
Intermediate level of skill with MS Excel - formulas, pivot tables, lookup functions, etc.
Proficient MS Office Products, Word, Excel, PowerPoint and SharePoint"
"Research Linguist NLP - San Diego, CA - 656179",""
"Senior Software Engineer - Boston, MA - 656006","5 + years in the software engineering profession
5+ years of Java development experience
2+ years experience working with Oracle databases
Demonstrated success designing and building high-quality commercial software applications
Proven experience delivering software using an Agile/Scrum methodology
Expertise across the entire SLDC
Relevant Bachelor's degree or equivalent work experience in a related field"
"Software Development Program Manager - Franklin, TN - 660236","Bachelors Degree or equivalent experience
5+ years of project management experience
5+ years of experience in tracking, planning projects, working with large data sets and making data-driven analytical decisions
5+ years of experience managing distributed teams of local, remote, and off-shore resources
5+ years of a proven track record of leading enterprise scale, complex IT projects/programs successfully
Own Budget accountability in the $3-5M range or greater
Required experience with process knowledge and experience leading Agile / TDD software projects
Software development / application experience with focus in planning, definition, scope management, client communication, issue tracking, and status reporting.
Ability to drive scoping and estimation engagements
Experience working within a change management and risk management process
Experience with system requirements and their constraints / dependencies
Ability to prioritize functional and non-functional (i.e. performance-based) requirements
Ability to break down prioritized deliverables into individual iterations
Great organization, collaboration, and coordination skills
Exceptional communication skills, both written and verbal"
